Team,QB,WR/RB/TE,OG/OT/C,DE/DT/LB,DB,P/K
CLE,1.6,6.75,6.75,8.271428571428572,2.4166666666666665,3.0
NYJ,2.3333333333333335,4.021428571428571,9.523809523809524,8.235897435897435,2.0,3.0
CHI,1.75,4.85,9.2,8.424603174603174,2.0714285714285716,4.0
SFO,4.5,5.425000000000001,8.8,7.166666666666667,2.3846153846153846,6.0
JAX,5.0,5.1,4.714285714285714,10.35,3.090909090909091,7.0
LAR,0.3333333333333333,4.0,7.5,14.55,2.6,7.0
MIA,6.0,7.208333333333334,7.833333333333334,9.333333333333334,2.1666666666666665,4.0
CAR,4.0,7.321428571428571,8.866666666666667,8.625,3.4615384615384617,4.5
TAM,6.0,5.069444444444445,11.166666666666668,11.216666666666667,2.8333333333333335,2.0
ARI,6.5,7.9714285714285715,10.583333333333334,8.833333333333334,3.9166666666666665,2.0
MIN,6.0,7.285714285714285,6.944444444444445,14.075,4.0,2.0
BUF,5.333333333333333,7.305555555555555,15.0,11.214285714285714,1.8666666666666667,1.5
HOU,3.0,7.5,12.4,12.30952380952381,2.2666666666666666,6.0
KAN,6.5,9.85,8.833333333333334,9.075,4.4,5.0
SEA,7.0,7.3809523809523805,10.4,12.291666666666668,3.1666666666666665,4.0
LAC,6.5,7.410714285714286,14.5,8.6,2.4285714285714284,5.0
CIN,6.0,8.25,11.7,14.058333333333334,3.0833333333333335,3.0
PHI,5.0,7.678571428571429,12.083333333333332,13.633333333333335,3.090909090909091,5.0
DEN,5.0,6.5,12.0,12.675,4.8,6.0
BAL,4.5,5.5,12.55,14.52142857142857,2.3125,10.0
NYG,9.0,7.6000000000000005,10.583333333333334,14.288888888888888,3.769230769230769,4.333333333333333
GNB,9.0,8.351190476190476,17.833333333333332,8.65,2.2857142857142856,5.0
OAK,4.0,9.45,18.55,9.35,2.909090909090909,8.0
PIT,7.0,9.371428571428572,15.833333333333332,13.2,3.5,3.5
TEN,7.0,9.2,17.166666666666664,11.333333333333332,2.4615384615384617,7.0
DET,14.0,8.257142857142858,15.25,8.253968253968253,2.2142857142857144,7.0
IND,8.5,10.92142857142857,15.933333333333334,8.76923076923077,2.066666666666667,9.0
WAS,15.0,12.472222222222221,13.0,10.5,2.230769230769231,4.0
DAL,5.333333333333333,10.999999999999998,21.5,10.577777777777778,3.3,6.0
NWE,5.666666666666667,9.4,20.416666666666668,14.033333333333335,4.083333333333333,5.0
NOR,16.0,10.25,17.0,8.363636363636363,1.9333333333333333,6.0
ATL,10.5,11.549999999999999,34.666666666666664,8.366666666666667,2.1666666666666665,7.0
