ID,Name,Draft,AV,Salary
C,Center,,,
CB,Cornerback,,,
DB,Defensive Back,,,n
DE,Defensive End,,,
DL,Defensive Line,n,,n
DT,Defensive Tackle,,,
FB,Fullback,,n,
FS,Free Safety,,n,
G,Guard,,,
ILB,Inside Linebacker,,,
K,Kicker,,,
LB,Linebacker,,,
LS,Long Snapper,,n,
OL,Offensive Line,,,n
OLB,Outside Linebacker,,,
P,Punter,,,
QB,Quarterback,,,
RB,Running Back,,,
S,Safety,,,
SS,Strong Safety,,n,
T,Tackle,,,
TE,Tight End,,,
WR,Wide Receiver,,,
COA,Coach,n,n,
KR,Kick Returner,n,n,
PR,Punt Returner,n,n,
