Id,Team,Abr
ARI,Arizona Cardinals,crd
ATL,Atlanta Falcons,atl
BAL,Baltimore Ravens,rav
BUF,Buffalo Bills,buf
CAR,Carolina Panthers,car
CHI,Chicago Bears,chi
CIN,Cincinnati Bengals,cin
CLE,Cleveland Browns,cle
DAL,Dallas Cowboys,dal
DEN,Denver Broncos,den
DET,Detroit Lions,det
GNB,Green Bay Packers,gnb
HOU,Houston Texans,htx
IND,Indianapolis Colts,clt
JAX,Jacksonville Jaguars,jax
KAN,Kansas City Chiefs,kan
LAC,Los Angeles Chargers,sdg
LAR,Los Angeles Rams,ram
MIA,Miami Dolphins,mia
MIN,Minnesota Vikings,min
NEW,New England Patriots,nwe
NOR,New Orleans Saints,nor
NYG,New York Giants,nyg
NYJ,New York Jets,nyj
OAK,Oakland Raiders,rai
PHI,Philadelphia Eagles,phi
PIT,Pittsburgh Steelers,pit
SFO,San Francisco 49ers,sfo
SEA,Seattle Seahawks,sea
TAM,Tampa Bay Buccaneers,tam
TEN,Tennessee Titans,oti
WAS,Washington Redskins,was
